age	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002
0	50251	51423	51245	51627	50480	49962	49231	50072	51536	53931	59184	59006	59105	58232	54472	51311	52800	54425	54514	52850	53146	50254	47854	46591	45395	46777	47165	45921	45067	44414	45490	47638	49495	51111	54247	56317	60478	59884	59569	57394	54811	50052	46478	43860	43223	43058	43950	44439
1	52342	50213	51374	51236	51582	50363	49979	49303	50074	51563	54085	59493	59161	59076	58397	55297	52429	53453	55060	54243	53349	53820	50921	48469	46969	45802	47165	47633	46206	45323	44752	45859	48058	50033	51558	54752	56804	60819	60231	59770	57472	54988	50196	46664	44201	43599	43589	44441
2	52298	52330	50252	51497	51270	51531	50417	50055	49328	50139	51763	54370	59680	59212	59188	58950	55826	52520	53323	54993	54435	53617	54184	51269	48547	47075	45832	47171	47609	46255	45387	44887	46067	48286	50248	51905	55090	57016	60875	60443	60075	57484	54976	50204	46785	44356	43801	43868
3	52202	52339	52371	50384	51521	51200	51554	50455	50056	49385	50296	52051	54553	59631	59301	59557	59416	55853	52321	53244	55075	54658	53852	54405	51356	48622	47132	45859	47173	47602	46284	45493	45090	46306	48538	50667	52247	55338	57202	61157	61028	60080	57414	54994	50270	46880	44555	44027
4	54586	52265	52414	52465	50417	51476	51295	51588	50464	50086	49536	50541	52201	54600	59712	59807	59997	59363	55548	52202	53255	55223	54842	54057	54445	51413	48657	47082	45787	47156	47660	46395	45662	45315	46568	48978	51016	52550	55518	57562	61786	61035	60010	57410	55029	50383	47065	44757
5	57657	54629	52328	52542	52500	50404	51486	51379	51624	50509	50218	49772	50723	52205	54673	60117	60160	59968	59153	55384	52234	53400	55440	55013	54127	54506	51416	48620	47038	45780	47188	47732	46510	45878	45559	46977	49309	51246	52717	55855	58236	61829	61010	60033	57483	55150	50619	47291
6	60389	57707	54634	52437	52571	52464	50394	51522	51410	51645	50595	50410	49888	50748	52270	55081	60390	60165	59762	58961	55374	52307	53572	55565	55021	54096	54498	51371	48547	47004	45801	47263	47821	46692	46150	45974	47295	49552	51441	53053	56544	58325	61836	61029	60108	57586	55297	50810
7	61259	60458	57735	54719	52462	52553	52462	50444	51522	51403	51748	50735	50530	49915	50783	52502	55374	60350	59935	59575	58924	55457	52398	53688	55573	55023	54112	54407	51304	48473	47036	45811	47368	47942	46906	46531	46311	47561	49728	51779	53722	56620	58338	61900	61137	60189	57776	55534
8	63010	61292	60482	57815	54769	52451	52487	52518	50479	51561	51511	51887	50832	50545	49960	51136	52749	55313	60128	59816	59554	59011	55580	52535	53707	55602	55011	54123	54332	51291	48538	47099	45865	47520	48190	47284	46841	46523	47763	50075	52371	53829	56654	58422	62014	61253	60351	57963
9	63077	63064	61328	60559	57857	54752	52460	52550	52536	50497	51661	51631	52005	50858	50579	50200	51348	52712	55176	60045	59840	59675	59126	55676	52573	53753	55556	54998	54067	54278	51302	48599	47205	45991	47720	48513	47557	47092	46720	48090	50658	52462	53847	56757	58559	62139	61446	60525
10	62984	63131	63116	61402	60596	57852	54751	52516	52547	52574	50606	51808	51750	52039	50921	50858	50409	51351	52620	55087	60086	59953	59807	59181	55724	52582	53744	55520	54928	54061	54319	51389	48654	47330	46203	48015	48785	47740	47269	47047	48609	50745	52493	53935	56838	58685	62314	61652
11	59639	63013	63155	63177	61452	60570	57859	54799	52554	52563	52674	50711	51906	51808	52079	51135	51143	50443	51278	52563	55072	60217	60036	59879	59182	55723	52598	53714	55491	54926	54104	54381	51492	48766	47474	46481	48260	49010	47907	47564	47588	48701	50806	52570	54092	56948	58898	62561
12	54355	59647	63044	63211	63216	61428	60572	57900	54800	52571	52640	52767	50785	51930	51856	52323	51360	51176	50382	51245	52608	55191	60309	60140	59883	59191	55735	52581	53716	55470	54940	54135	54448	51604	48909	47721	46704	48460	49164	48174	48055	47675	48758	50878	52692	54201	57149	59100
13	47635	54378	59679	63100	63240	63203	61444	60603	57935	54819	52654	52768	52846	50828	51983	52064	52584	51404	51150	50344	51275	52701	55273	60403	60164	59907	59201	55716	52572	53735	55502	55005	54208	54573	51743	49111	47960	46907	48619	49480	48624	48131	47701	48858	51013	52820	54411	57415
